Image Type,PSNR
Yes,100.0
Yes,65.35065576856626
Yes,62.656985894479824
Yes,64.3815556384857
Yes,66.60995045969966
Yes,68.36095572520607
Yes,66.60995045969966
Yes,71.37125568184588
Yes,100.0
Yes,100.0
Yes,100.0
Yes,37.38455664804455
Yes,37.36960981383996
Yes,37.193720323844694
Yes,37.04021939025894
Yes,38.10778397003722
Yes,37.02227992194247
Yes,37.46144688346291
Yes,100.0
Yes,100.0
Yes,100.0
Yes,38.84469366174241
Yes,39.795121729578774
Yes,44.97913324826885
Yes,48.127323050916814
Yes,39.35578751676858
Yes,45.6427748842618
Yes,37.14167049206256
Yes,100.0
Yes,100.0
Yes,100.0
Yes,51.4110564417141
Yes,47.00937175258133
Yes,51.31127415180564
Yes,51.09235831747633
Yes,51.20566272459609
Yes,48.294435522317116
Yes,51.237270351045524
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,53.59340998829512
Yes,53.081597917139234
Yes,55.61133368417374
Yes,53.57383321693443
Yes,55.530029241710494
Yes,53.46163272919508
Yes,53.10074341397025
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,39.80860800611998
Yes,39.29454194597846
Yes,40.65961821568681
Yes,39.39124868979333
Yes,39.38016356700056
Yes,39.50211093381541
Yes,39.57253083747884
Yes,100.0
Yes,100.0
Yes,100.0
Yes,46.97800231619144
Yes,47.126847775488294
Yes,47.21404712481264
Yes,47.08530952817604
Yes,47.39270689880865
Yes,47.185065094063965
Yes,46.96325708319502
Yes,100.0
Yes,100.0
Yes,100.0
Yes,61.38125557293121
Yes,66.75278563402003
Yes,66.04959696744802
Yes,100.0
Yes,100.0
Yes,62.56898840715979
Yes,60.605096311279326
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,53.45154150302803
Yes,52.1249663462399
Yes,53.16179215443985
Yes,52.15474487181445
Yes,51.49494403618555
Yes,52.77635347814478
Yes,52.24108888161329
Yes,42.41823245741858
Yes,42.768798441279344
Yes,42.50814624924723
Yes,42.488170876253534
Yes,42.40143792786299
Yes,42.4903137622218
Yes,42.834575673782695
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,45.899585741033285
Yes,45.91280492140983
Yes,46.474467534716375
Yes,45.51381694741298
Yes,48.45404285701326
Yes,45.73472443152933
Yes,45.76915890561316
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,37.06810851117209
Yes,37.20698531123622
Yes,37.381405548142254
Yes,37.432067312878125
Yes,37.258726208790854
Yes,37.20562692786976
Yes,37.27672166637261
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,67.81174702170185
Yes,100.0
Yes,100.0
Yes,55.1353314188193
Yes,100.0
Yes,100.0
Yes,63.53103814331081
Yes,100.0
Yes,100.0
Yes,100.0
Yes,52.81977126698937
Yes,53.22034832613873
Yes,100.0
Yes,100.0
Yes,52.49696140577662
Yes,100.0
Yes,100.0
Yes,100.0
Yes,51.839676015284894
Yes,49.03447543955441
Yes,52.02397303466083
Yes,51.730095755707964
Yes,51.783065113067465
Yes,52.06036421041749
Yes,47.810697881919744
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,65.70911589072354
Yes,66.09618663142196
Yes,100.0
Yes,100.0
Yes,71.71489850945575
Yes,100.0
Yes,65.33395227804465
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,35.08353172969522
Yes,35.215399772534155
Yes,35.16226829728036
Yes,35.124344412623415
Yes,35.25480174509566
Yes,35.040485197068165
Yes,35.068976493264664
Yes,32.44656166776527
Yes,33.23768893941703
Yes,33.24857951907995
Yes,32.3724471361588
Yes,33.3042002975333
Yes,32.67729134932875
Yes,33.42074221280854
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,56.854852565929825
Yes,57.624283340501314
Yes,57.96426863084356
Yes,57.86901403892586
Yes,57.85779392981162
Yes,58.169622115962284
Yes,54.23751588926311
Yes,38.99168583138322
Yes,39.35042711307918
Yes,37.10705359008688
Yes,39.5464396271553
Yes,38.2466003130154
Yes,38.080148019068616
Yes,37.57147841014103
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,48.16974436069539
Yes,52.12512279223883
Yes,51.90474336976309
Yes,51.87229660444331
Yes,51.951770655495835
Yes,52.00817424469119
Yes,51.449150730652676
Yes,100.0
Yes,100.0
Yes,100.0
Yes,43.03616651251594
Yes,43.27283050805007
Yes,43.29773868084552
Yes,43.126191295467265
Yes,43.60614917682247
Yes,43.188118039276716
Yes,43.57738531319964
Yes,39.57263239538718
Yes,39.66694919281117
Yes,39.70106129139423
Yes,39.295361292432524
Yes,39.78228804308928
Yes,39.54543433832116
Yes,39.30410237980007
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
Yes,100.0
No,100.0
No,100.0
No,100.0
No,52.428958364640366
No,60.1036091899353
No,100.0
No,61.694188387504305
No,56.52942262066621
No,55.73519389157957
No,53.87294777481227
No,54.51527396800295
No,52.43932579346324
No,52.7723055591003
No,100.0
No,100.0
No,100.0
No,100.0
No,100.0
No,43.059724350762075
No,42.78985279864858
No,43.1058625339753
No,42.41088540947815
No,43.25286041462758
No,43.472648749651
No,43.44019215679474
No,42.82776288901729
No,42.77904849233558
No,43.1364673022984
No,55.99823155189092
No,58.48129200106803
No,56.32985092878187
No,57.8997360514053
No,56.607745179774966
No,56.70771926754857
No,57.840422671775855
No,56.56602356513329
No,52.27702407423797
No,58.854815033182284
No,38.67962001023316
No,36.631339998555305
No,37.943110860863946
No,41.59787429634342
No,35.66283415527568
No,42.35100237661165
No,41.012335346847124
No,40.468928327506084
No,36.65889228428435
No,40.856999619183625
No,100.0
No,100.0
No,100.0
No,100.0
No,100.0
No,100.0
No,50.28871407910682
No,73.11614432151845
No,84.53847423946557
No,48.245111054764294
No,49.53814744044259
No,46.3304581608501
No,49.7582007298669
No,47.044541587345485
No,45.601558660241075
No,46.98836539745777
No,100.0
No,100.0
No,100.0
No,100.0
No,63.56869241821094
No,100.0
No,58.616733065568795
No,100.0
No,66.5869998649403
No,55.467426637890476
No,100.0
No,68.23622085030814
No,100.0
No,56.46968044876879
No,100.0
No,100.0
No,100.0
No,47.05366128375709
No,46.7164705731779
No,47.52973465986579
No,49.28388136652495
No,45.00298752122288
No,47.51786375631873
No,45.45824884418988
No,45.785497714105034
No,45.37710827828013
No,48.99229420132599
No,100.0
No,100.0
No,100.0
No,100.0
No,100.0
No,100.0
No,100.0
No,100.0
No,100.0
No,100.0
No,100.0
No,100.0
No,100.0
No,100.0
No,100.0
No,57.494232497323175
No,59.062692997957384
No,68.96030055810473
No,100.0
No,61.12282022070146
No,100.0
No,100.0
No,100.0
No,100.0
No,55.544119364018655
No,55.580889503076996
No,63.12695941953866
No,68.14219575591207
No,60.23612290238902
No,63.17650442671622
No,100.0
No,66.94291652466804
No,57.16938646622432
No,100.0
No,100
No,100.0
No,76.12752559426501
No,100.0
No,100.0
No,100.0
No,72.96883200944089
No,100.0
No,100.0
No,73.11722563762518
No,100.0
No,100.0
No,71.25682273565026
No,100.0
No,39.096090933180164
No,50.14362643953204
No,47.28509937415897
No,41.83811009796629
No,100.0
No,39.76080412487839
No,100.0
No,45.97324073120263
No,48.199048993200826
No,39.60529090832053
No,100.0
No,100.0

